condicao_corporal,historico_taxa_prenhez,intervalo_pos_parto_dias,num_partos_anteriores,dias_desde_ultima_ins,dep_fertilidade_animal,especie,raca_femea,tipo_inseminacao,protocolo_hormonal,temperatura_ambiente_c,estacao,dep_acuracia,coeficiente_endogamia,prenha
5.0,0.6259,157,0,74,5.4,CAPRINO,Repartida,IA_CONVENCIONAL,IA_CONVENCIONAL,23.9,SECA,0.7,0.02,1
4.0,0.6672,225,2,113,9.4,BOVINO,Gir,IATF,Select Synch,39.1,SECA,0.7,0.02,0
2.5,0.78,107,2,133,9.5,OVINO,Somalis Brasileira,IATF,P4+EB 7 dias,26.8,SECA,0.32,0.011,1
4.0,0.61,77,3,77,6.4,OVINO,Santa Inês,IATF,CIDR+GnRH,29.9,CHUVOSA,0.94,0.0062,1
3.5,0.7,66,4,120,8.7,BOVINO,Brahman,IATF,Crestar,30.4,SECA,0.67,0.0512,1
2.0,0.5726,169,0,22,5.5,OVINO,Santa Inês,IA_CONVENCIONAL,IA_CONVENCIONAL,37.4,SECA,0.7,0.02,0
3.0,0.42,70,3,88,4.6,BOVINO,Tabapuã,IATF,Crestar,20.7,SECA,0.51,0.0166,1
4.0,0.5,61,1,39,3.3,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,29.4,CHUVOSA,0.84,0.0141,0
5.0,0.6672,142,1,27,8.2,BOVINO,Nelore,IATF,P4+EB,35.7,SECA,0.7,0.02,1
4.0,0.73,86,3,89,12.1,BOVINO,Nelore,IATF,OvSynch,19.2,CHUVOSA,0.71,0.0064,1
4.0,0.5726,169,0,105,3.8,OVINO,Santa Inês,IATF,P4+BE+PGF,25.8,CHUVOSA,0.7,0.02,1
4.0,0.6672,168,0,12,5.7,BOVINO,Guzerá,IA_CONVENCIONAL,IA_CONVENCIONAL,30.8,CHUVOSA,0.7,0.02,0
4.0,0.6672,168,0,78,6.5,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,34.8,CHUVOSA,0.7,0.02,1
4.0,0.6672,168,0,68,6.7,BOVINO,Canchim,IATF,IATF 7 dias,29.6,CHUVOSA,0.7,0.02,1
4.0,0.5726,113,3,78,6.6,OVINO,Somalis,IA_CONVENCIONAL,IA_CONVENCIONAL,21.0,SECA,0.7,0.02,1
3.5,0.35,43,0,32,1.4,CAPRINO,Saanen,IA_CONVENCIONAL,IA_CONVENCIONAL,25.5,SECA,0.38,0.0503,0
5.0,0.5726,169,0,96,3.7,OVINO,Texel,IATF,Resynch,35.1,SECA,0.7,0.02,0
3.0,0.6672,109,5,81,6.6,BOVINO,Girolando,IATF,Ovsynch,26.2,SECA,0.7,0.02,0
4.0,0.59,105,1,19,6.1,CAPRINO,Boer,IATF,OvSynch,22.7,CHUVOSA,0.71,0.047,1
4.5,0.51,58,4,92,8.1,OVINO,Somalis Brasileira,IA_CONVENCIONAL,IA_CONVENCIONAL,29.2,SECA,0.33,0.0549,0
1.5,0.46,33,1,142,5.1,CAPRINO,Moxotó,IATF,CIDR+GnRH,23.9,CHUVOSA,0.73,0.0268,0
3.0,0.6672,168,0,39,3.5,BOVINO,Sindi,IATF,P4+BE+PGF,37.0,SECA,0.7,0.02,0
4.0,0.6672,57,2,29,8.1,BOVINO,Brahman,IATF,Resynch,20.5,CHUVOSA,0.7,0.02,1
4.0,0.6259,157,0,117,6.8,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,33.6,CHUVOSA,0.7,0.02,1
3.0,0.43,31,2,9,2.5,OVINO,Morada Nova,IATF,P4+EB 7 dias,34.7,SECA,0.62,0.0295,0
4.0,0.6672,226,1,71,6.2,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,27.5,CHUVOSA,0.7,0.02,1
3.0,0.6672,183,1,114,6.1,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,33.6,CHUVOSA,0.7,0.02,1
3.5,0.68,60,2,144,3.8,CAPRINO,Anglo-nubiano,IATF,Crestar,26.4,SECA,0.76,0.001,1
3.0,0.73,81,2,65,5.0,BOVINO,Tabapuã,IATF,CIDR+GnRH,24.0,CHUVOSA,0.84,0.0145,1
5.0,0.42,69,1,23,2.6,CAPRINO,Saanen,IATF,CIDR+GnRH,26.6,CHUVOSA,0.7,0.06,0
5.0,0.6672,168,0,92,7.6,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,25.1,SECA,0.7,0.02,1
4.0,0.5726,149,1,64,4.6,OVINO,Santa Inês,IA_CONVENCIONAL,IA_CONVENCIONAL,20.0,SECA,0.7,0.02,1
3.0,0.6672,220,2,23,9.3,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,35.1,SECA,0.7,0.02,1
3.0,0.81,94,3,132,10.0,OVINO,Somalis Brasileira,IA_CONVENCIONAL,IA_CONVENCIONAL,30.1,SECA,0.68,0.0114,1
5.0,0.6672,168,0,101,4.0,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,36.1,CHUVOSA,0.7,0.02,1
3.5,0.82,62,2,19,7.9,CAPRINO,Saanen,IATF,Crestar,25.3,CHUVOSA,0.55,0.0245,1
3.0,0.6672,168,0,113,9.7,BOVINO,Guzerá,IA_CONVENCIONAL,IA_CONVENCIONAL,36.1,CHUVOSA,0.7,0.02,1
3.0,0.27,77,0,9,3.1,OVINO,Somalis Brasileira,IA_CONVENCIONAL,IA_CONVENCIONAL,29.5,CHUVOSA,0.47,0.06,0
3.5,0.86,57,2,164,8.1,OVINO,Somalis Brasileira,IATF,P4+EB 7 dias,22.6,CHUVOSA,0.93,0.0169,1
2.5,0.22,39,0,101,6.3,OVINO,Morada Nova,IA_CONVENCIONAL,IA_CONVENCIONAL,39.8,CHUVOSA,0.46,0.0578,0
3.5,0.71,79,6,23,8.8,CAPRINO,Anglo-nubiano,IA_CONVENCIONAL,IA_CONVENCIONAL,23.7,SECA,0.52,0.0003,1
3.5,0.61,94,4,166,11.3,BOVINO,Nelore,IATF,P4+EB 7 dias,23.2,SECA,0.82,0.0034,1
3.0,0.6672,218,5,30,8.5,BOVINO,Canchim,IA_CONVENCIONAL,IA_CONVENCIONAL,37.8,CHUVOSA,0.7,0.02,0
4.0,0.6259,43,1,63,7.0,CAPRINO,Boer,IATF,GnRH+PGF2α,29.4,CHUVOSA,0.7,0.02,0
2.0,0.32,55,2,38,5.6,BOVINO,Gir,IATF,P4+EB 7 dias,26.0,SECA,0.45,0.0064,0
5.0,0.56,58,0,83,4.8,OVINO,Somalis Brasileira,IATF,OvSynch,29.3,CHUVOSA,0.37,0.2356,0
2.0,0.6672,168,0,89,5.3,BOVINO,Gir,IATF,Sem protocolo,25.4,CHUVOSA,0.7,0.02,1
4.0,0.6672,86,1,78,8.5,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,18.7,CHUVOSA,0.7,0.02,0
1.0,0.4,78,1,8,8.3,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,31.4,CHUVOSA,0.46,0.0272,0
3.0,0.81,71,1,97,8.7,BOVINO,Angus,IA_CONVENCIONAL,IA_CONVENCIONAL,25.9,SECA,0.9,0.0356,1
3.0,0.6672,168,0,113,7.3,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,19.1,CHUVOSA,0.7,0.02,1
4.5,0.2,17,0,46,8.1,CAPRINO,Moxotó,IATF,CIDR+GnRH,30.6,CHUVOSA,0.9,0.0044,0
5.0,0.6672,57,2,109,6.4,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,22.9,SECA,0.7,0.02,1
5.0,0.6259,251,1,97,5.9,CAPRINO,Anglo Nubiana,IA_CONVENCIONAL,IA_CONVENCIONAL,31.2,SECA,0.7,0.02,1
3.0,0.7,45,3,34,7.0,OVINO,Suffolk,IA_CONVENCIONAL,IA_CONVENCIONAL,26.6,SECA,0.66,0.01,1
3.5,0.43,37,4,12,2.2,OVINO,Suffolk,IA_CONVENCIONAL,IA_CONVENCIONAL,23.4,CHUVOSA,0.67,0.06,0
3.5,0.75,85,1,67,7.3,OVINO,Dorper,IATF,CIDR+GnRH,24.5,SECA,0.78,0.0433,1
4.5,0.28,28,8,168,8.2,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,28.3,CHUVOSA,0.75,0.0206,0
4.0,0.6259,194,1,52,4.4,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,18.8,SECA,0.7,0.02,1
4.0,0.6672,168,0,53,8.1,BOVINO,Brahman,IATF,P4+EB,24.4,CHUVOSA,0.7,0.02,1
4.0,0.6259,157,0,24,4.9,CAPRINO,Moxotó,IA_CONVENCIONAL,IA_CONVENCIONAL,18.1,CHUVOSA,0.7,0.02,1
2.0,0.6672,88,1,80,7.0,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,31.1,CHUVOSA,0.7,0.02,0
4.0,0.6672,168,0,79,6.1,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,18.3,SECA,0.7,0.02,1
5.0,0.6259,131,3,38,5.2,CAPRINO,Moxotó,IATF,P4+BE+PGF,33.4,CHUVOSA,0.7,0.02,1
4.0,0.6672,168,0,34,6.5,BOVINO,Canchim,IA_CONVENCIONAL,IA_CONVENCIONAL,24.5,SECA,0.7,0.02,0
4.0,0.6672,290,1,119,6.4,BOVINO,Canchim,IATF,Cosynch,20.5,SECA,0.7,0.02,1
5.0,0.6672,224,4,92,4.9,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,21.7,SECA,0.7,0.02,1
5.0,0.49,29,0,113,0.6,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,25.7,CHUVOSA,0.19,0.06,0
3.0,0.5726,169,0,120,6.0,OVINO,Bergamácia,IATF,P4+BE+PGF,23.5,CHUVOSA,0.7,0.02,1
3.5,0.32,32,8,158,0.5,BOVINO,Tabapuã,IA_CONVENCIONAL,IA_CONVENCIONAL,31.6,SECA,0.44,0.0046,0
4.0,0.81,63,1,107,6.7,CAPRINO,Boer,IATF,OvSynch,29.3,CHUVOSA,0.86,0.06,1
2.0,0.45,25,7,142,4.2,BOVINO,Tabapuã,IA_CONVENCIONAL,IA_CONVENCIONAL,28.0,CHUVOSA,0.45,0.0104,0
5.0,0.6672,53,4,36,5.3,BOVINO,Canchim,IATF,Ovsynch,33.4,SECA,0.7,0.02,1
3.0,0.5726,77,1,14,5.7,OVINO,Somalis,IA_CONVENCIONAL,IA_CONVENCIONAL,28.9,SECA,0.7,0.02,0
4.0,0.6672,114,1,11,6.8,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,22.4,SECA,0.7,0.02,1
3.5,0.85,84,2,69,10.1,OVINO,Suffolk,IATF,Crestar,31.2,SECA,0.97,0.0346,1
4.0,0.6672,164,1,39,6.9,BOVINO,Guzerá,IATF,Resynch,31.1,CHUVOSA,0.7,0.02,1
5.0,0.5726,68,2,78,6.5,OVINO,Somalis,IA_CONVENCIONAL,IA_CONVENCIONAL,37.6,SECA,0.7,0.02,0
2.0,0.5,36,0,10,1.2,OVINO,Suffolk,IATF,CIDR+GnRH,30.9,SECA,0.75,0.06,0
3.0,0.5726,169,0,110,7.4,OVINO,Bergamácia,IA_CONVENCIONAL,IA_CONVENCIONAL,31.2,CHUVOSA,0.7,0.02,1
5.0,0.6259,258,2,105,5.5,CAPRINO,Repartida,IA_CONVENCIONAL,IA_CONVENCIONAL,19.1,CHUVOSA,0.7,0.02,1
5.0,0.6672,105,3,95,5.2,BOVINO,Tabapuã,IA_CONVENCIONAL,IA_CONVENCIONAL,31.5,SECA,0.7,0.02,1
3.0,0.72,77,4,39,6.7,OVINO,Somalis Brasileira,IATF,Crestar,19.5,CHUVOSA,0.67,0.0198,1
3.0,0.6672,234,1,63,6.4,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,24.0,SECA,0.7,0.02,1
4.0,0.6672,168,0,111,5.5,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,20.6,CHUVOSA,0.7,0.02,1
3.0,0.5726,88,1,27,5.1,OVINO,Dorper,IA_CONVENCIONAL,IA_CONVENCIONAL,28.1,CHUVOSA,0.7,0.02,0
2.0,0.33,42,3,44,3.8,OVINO,Santa Inês,IATF,OvSynch,26.5,SECA,0.4,0.0068,0
4.0,0.75,92,1,53,4.4,CAPRINO,Boer,IATF,P4+EB 7 dias,24.0,SECA,0.65,0.06,1
4.0,0.6672,168,0,61,5.5,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,23.2,CHUVOSA,0.7,0.02,1
2.5,0.38,59,0,120,5.9,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,42.0,SECA,0.81,0.0359,0
2.5,0.43,50,1,78,5.3,OVINO,Suffolk,IA_CONVENCIONAL,IA_CONVENCIONAL,33.0,CHUVOSA,0.53,0.0061,0
4.0,0.6672,213,2,28,7.3,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,38.5,CHUVOSA,0.7,0.02,1
4.0,0.6259,246,1,56,7.4,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,39.3,CHUVOSA,0.7,0.02,0
4.0,0.7,90,4,113,5.0,OVINO,Dorper,IATF,OvSynch,25.6,CHUVOSA,0.9,0.0131,1
3.5,0.7,80,3,159,7.6,OVINO,Somalis Brasileira,IATF,OvSynch,27.8,SECA,0.75,0.0061,1
3.0,0.6672,97,3,91,4.2,BOVINO,Guzerá,IATF,Select Synch,37.3,SECA,0.7,0.02,1
4.0,0.6672,168,0,72,5.8,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,24.6,CHUVOSA,0.7,0.02,0
1.0,0.6672,125,3,39,9.1,BOVINO,Gir,IATF,Sem protocolo,18.6,SECA,0.7,0.02,1
4.0,0.6259,157,0,98,5.2,CAPRINO,Repartida,IATF,Ovsynch,22.3,SECA,0.7,0.02,0
3.5,0.69,124,2,71,7.4,BOVINO,Angus,IATF,CIDR+GnRH,29.3,SECA,0.95,0.0273,1
2.0,0.6259,157,0,41,4.6,CAPRINO,Boer,IATF,IATF 7 dias,26.8,SECA,0.7,0.02,0
3.5,1.0,54,2,93,8.8,CAPRINO,Moxotó,IATF,Crestar,24.6,CHUVOSA,0.86,0.0435,1
3.0,0.56,72,3,138,10.2,OVINO,Somalis Brasileira,IATF,OvSynch,27.6,CHUVOSA,0.76,0.0189,1
4.0,0.86,126,1,116,9.7,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,27.6,CHUVOSA,0.74,0.06,1
2.5,0.2,43,0,2,3.4,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,23.3,SECA,0.49,0.06,0
3.5,0.78,74,2,105,9.3,OVINO,Suffolk,IA_CONVENCIONAL,IA_CONVENCIONAL,24.3,CHUVOSA,0.8,0.0384,1
5.0,0.6259,80,1,59,7.0,CAPRINO,Anglo Nubiana,IATF,Resynch,33.1,CHUVOSA,0.7,0.02,1
4.0,0.61,77,3,153,9.4,OVINO,Morada Nova,IATF,P4+EB 7 dias,25.9,CHUVOSA,0.49,0.0235,1
4.0,0.6672,168,0,34,5.2,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,22.7,CHUVOSA,0.7,0.02,0
4.0,0.5726,169,0,71,6.1,OVINO,Texel,IATF,Cosynch,22.0,SECA,0.7,0.02,1
4.0,0.7,45,3,152,8.0,OVINO,Santa Inês,IATF,OvSynch,27.2,CHUVOSA,0.83,0.0187,1
3.0,0.6672,168,0,87,6.2,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,28.8,CHUVOSA,0.7,0.02,0
5.0,0.49,50,0,121,2.6,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,34.3,CHUVOSA,0.61,0.06,0
1.0,0.6672,168,0,81,8.5,BOVINO,Girolando,IA_CONVENCIONAL,IA_CONVENCIONAL,20.0,CHUVOSA,0.7,0.02,1
4.0,0.76,75,1,172,9.5,CAPRINO,Boer,IATF,OvSynch,23.0,SECA,0.82,0.06,1
1.5,0.42,28,0,108,4.4,OVINO,Morada Nova,IATF,Crestar,31.2,SECA,0.68,0.06,0
2.5,0.59,92,4,137,9.6,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,33.0,CHUVOSA,0.87,0.06,1
3.0,0.71,98,4,138,10.7,BOVINO,Brahman,IATF,P4+EB 7 dias,29.1,SECA,0.91,0.0187,1
2.5,0.35,51,5,65,4.1,BOVINO,Simmental,IA_CONVENCIONAL,IA_CONVENCIONAL,25.1,CHUVOSA,0.79,0.0003,0
3.5,0.62,88,1,119,4.4,OVINO,Suffolk,IATF,OvSynch,24.3,SECA,0.95,0.06,1
3.0,0.04,61,7,66,7.5,CAPRINO,Moxotó,IA_CONVENCIONAL,IA_CONVENCIONAL,32.2,SECA,0.81,0.024,0
4.0,0.6672,168,0,19,4.9,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,34.7,CHUVOSA,0.7,0.02,0
3.0,0.6672,252,1,87,8.0,BOVINO,Nelore,IATF,Select Synch,35.3,SECA,0.7,0.02,1
4.0,0.63,57,1,178,8.8,BOVINO,Guzerá,IA_CONVENCIONAL,IA_CONVENCIONAL,31.2,CHUVOSA,0.57,0.0254,1
2.0,0.32,60,0,50,3.7,CAPRINO,Saanen,IA_CONVENCIONAL,IA_CONVENCIONAL,31.7,SECA,0.2,0.06,0
1.0,0.5726,273,1,47,7.6,OVINO,Bergamácia,IA_CONVENCIONAL,IA_CONVENCIONAL,25.4,SECA,0.7,0.02,0
5.0,0.5726,169,0,45,3.8,OVINO,Texel,IATF,Sem protocolo,26.3,CHUVOSA,0.7,0.02,1
4.0,0.6672,230,2,25,5.8,BOVINO,Sindi,IA_CONVENCIONAL,IA_CONVENCIONAL,19.3,SECA,0.7,0.02,1
4.0,0.71,96,4,100,7.1,CAPRINO,Moxotó,IATF,CIDR+GnRH,19.2,SECA,0.88,0.0027,1
2.5,0.23,50,1,152,4.7,OVINO,Santa Inês,IATF,CIDR+GnRH,24.9,CHUVOSA,0.65,0.06,0
4.0,0.5726,169,0,113,5.9,OVINO,Somalis,IA_CONVENCIONAL,IA_CONVENCIONAL,37.3,SECA,0.7,0.02,0
4.0,0.6259,265,6,85,3.6,CAPRINO,Repartida,IA_CONVENCIONAL,IA_CONVENCIONAL,37.2,CHUVOSA,0.7,0.02,1
3.0,0.6672,110,1,83,7.0,BOVINO,Guzerá,IA_CONVENCIONAL,IA_CONVENCIONAL,32.6,CHUVOSA,0.7,0.02,1
4.0,0.5726,103,1,10,5.4,OVINO,Morada Nova,IATF,P4+BE+PGF,28.1,SECA,0.7,0.02,0
3.0,0.8,61,3,40,12.0,OVINO,Santa Inês,IATF,CIDR+GnRH,26.2,CHUVOSA,0.94,0.0569,1
4.0,0.6259,65,1,110,7.5,CAPRINO,Anglo Nubiana,IA_CONVENCIONAL,IA_CONVENCIONAL,21.1,SECA,0.7,0.02,0
3.0,0.65,82,3,44,7.7,CAPRINO,Saanen,IATF,P4+EB 7 dias,25.3,CHUVOSA,0.87,0.06,1
2.0,0.47,20,2,23,8.7,CAPRINO,Boer,IA_CONVENCIONAL,IA_CONVENCIONAL,37.7,CHUVOSA,0.7,0.0144,0
3.0,0.6672,48,6,86,6.4,BOVINO,Gir,IATF,Sem protocolo,31.8,SECA,0.7,0.02,1
4.0,0.5726,169,0,12,6.5,OVINO,Texel,IA_CONVENCIONAL,IA_CONVENCIONAL,35.2,SECA,0.7,0.02,1
5.0,0.5726,169,0,98,3.5,OVINO,Somalis,IA_CONVENCIONAL,IA_CONVENCIONAL,19.7,SECA,0.7,0.02,0
3.0,0.57,76,3,25,5.0,BOVINO,Brahman,IATF,OvSynch,34.6,SECA,0.78,0.0182,1
3.0,0.5726,203,2,16,7.4,OVINO,Somalis,IA_CONVENCIONAL,IA_CONVENCIONAL,39.4,CHUVOSA,0.7,0.02,1
